cart_id,user_id,total_products,total_quantity,total_price,discounted_total
1,1,4,12,13037.88,11510.81
2,2,2,7,139.93,125.7
3,3,6,15,1794.85,1625.77
4,4,2,7,689.93,636.81
5,5,3,12,1467.88,1205.8
6,6,4,14,55453.86,46641.06
7,7,6,14,1229.86,1103.65
8,8,6,17,6337.83,5771.32
9,9,4,10,29709.9,27993.46
10,10,2,6,152.44,131.34
11,11,5,15,61831.75,57397.84
12,12,6,18,37767.32,35410.79
13,13,2,6,16.54,14.97
14,14,3,10,209.9,184.59
15,15,3,5,249.95,214.68
16,16,2,8,384.92,364.7
17,17,4,16,5531.34,5014.94
18,18,2,10,128999.9,124978.81
19,19,5,12,22142.88,21308.13
20,20,4,12,4711.88,4251.41
21,21,3,6,12939.94,10966.03
22,22,3,8,307.92,296.47
23,23,2,9,2499.91,2123.87
24,24,2,6,30299.94,26780.04
25,25,5,15,1228.35,1070.83
26,26,4,16,1111.84,1021.64
27,27,4,15,111014.85,100496.36
28,28,6,23,5944.77,5531.37
29,29,4,16,2359.84,2077.88
30,30,6,15,186110.85,155507.16
31,31,5,12,1268.88,1111.0
32,32,2,6,187.44,153.2
33,33,6,23,129057.77,125461.58
34,34,3,8,1479.92,1240.78
35,35,6,14,618.86,507.21
36,36,3,9,98.91,89.37
37,37,2,7,129.93,119.32
38,38,3,5,409.95,334.61
39,39,2,4,279.96,249.24
40,40,3,10,263.9,253.64
41,41,5,18,49649.82,46340.09
42,42,5,16,626.84,531.17
43,43,4,12,1689.88,1521.19
44,44,6,16,47055.84,43550.16
45,45,6,21,132262.29,121385.95
46,46,4,17,67607.33,56101.67
47,47,5,13,50539.87,49199.91
48,48,2,9,110.91,101.89
49,49,5,19,4208.81,3843.75
50,50,3,7,13144.93,10852.12
51,51,5,10,36519.9,32961.03
52,52,6,18,134382.82,130175.28
53,53,2,6,1079.94,1028.19
54,54,2,5,10999.95,9998.55
55,55,2,4,42.96,39.92
56,56,2,3,121.97,109.12
57,57,2,9,1269.91,1158.21
58,58,2,3,1212.97,1042.77
59,59,2,3,74029.97,61859.29
60,60,2,8,7649.92,6748.39
61,61,5,14,642.86,571.58
62,62,2,8,2851.92,2691.23
63,63,4,8,511.92,460.04
64,64,5,19,6032.81,5389.02
65,65,4,11,1717.89,1517.78
66,66,4,7,2295.93,1907.41
67,67,3,4,443.96,389.6
68,68,3,11,252.89,221.05
69,69,5,13,7185.87,6560.55
70,70,5,17,3794.83,3295.62
71,71,4,13,77905.87,72541.01
72,72,4,14,322.86,291.77
73,73,6,16,21807.84,20510.13
74,74,4,9,1562.41,1379.22
75,75,4,6,346.44,286.02
76,76,5,14,37629.86,36017.72
77,77,3,5,999.95,880.59
78,78,4,13,128964.87,109890.08
79,79,6,13,1575.87,1336.5
80,80,2,7,1504.93,1217.93
81,81,4,15,242.85,217.41
82,82,5,16,1974.84,1674.54
83,83,5,14,150061.36,125679.0
84,84,3,8,569.92,542.55
85,85,2,6,179.94,163.88
86,86,2,10,45249.9,40809.21
87,87,3,8,309.92,278.38
88,88,2,6,149.94,128.13
89,89,6,17,2458.83,2111.01
90,90,5,16,6059.84,5010.11
91,91,2,6,259.94,228.17
92,92,3,8,809.92,680.17
93,93,5,14,1809.86,1468.77
94,94,5,19,345.81,312.15
95,95,6,24,154490.76,129783.31
96,96,2,7,104.93,92.51
97,97,3,7,2013.93,1623.42
98,98,6,22,1010.78,896.98
99,99,4,10,124.4,117.96
100,100,2,7,33003.13,31771.92
101,101,5,12,1551.88,1464.78
102,102,5,10,171.9,155.13
103,103,3,11,35.89,31.79
104,104,6,27,1120.23,990.53
105,105,3,9,147.91,134.21
106,106,2,3,104.97,94.38
107,107,2,3,129.97,120.92
108,108,2,4,1062.96,935.63
109,109,2,6,10089.94,9615.55
110,110,5,15,37703.85,31595.18
111,111,2,9,13899.91,11845.13
112,112,4,12,384.88,343.42
113,113,3,13,1624.87,1480.45
114,114,2,7,37699.93,33323.1
115,115,5,13,4526.87,4223.96
116,116,5,17,9141.33,8558.54
117,117,5,14,10989.86,9985.79
118,118,4,15,158.85,141.14
119,119,2,4,299.96,252.16
120,120,3,8,879.92,814.89
121,121,3,10,83.9,79.41
122,122,3,6,27089.94,24688.5
123,123,6,21,84301.79,78514.37
124,124,4,15,469.85,433.96
125,125,2,8,3364.92,3047.81
126,126,5,16,1105.34,920.91
127,127,5,14,1023.86,887.48
128,128,5,15,10236.85,9755.4
129,129,6,20,2246.3,1878.79
130,130,3,5,30625.95,29328.26
131,131,6,19,3702.71,3474.09
132,132,6,19,13411.81,11523.23
133,133,5,13,9559.87,8818.7
134,134,6,19,2056.81,1740.76
135,135,4,13,889.87,751.73
136,136,3,7,405.93,360.45
137,137,5,14,12442.86,10941.81
138,138,2,7,15029.93,13292.05
139,139,2,3,36.97,36.17
140,140,3,9,643.91,614.71
141,141,4,14,2991.36,2506.71
142,142,6,20,2675.8,2499.07
143,143,6,21,17609.79,15464.38
144,144,5,15,4269.05,3608.57
145,145,6,16,1153.84,1030.1
146,146,6,18,562.82,506.06
147,147,5,17,2102.83,1898.14
148,148,2,7,71.93,58.55
149,149,4,17,39227.33,34702.26
150,150,3,8,1029.42,989.15
151,151,5,15,247.85,222.39
152,152,2,9,4119.91,3369.71
153,153,6,15,4309.85,3678.46
154,154,3,8,573.92,532.54
155,155,5,19,131224.81,110543.89
156,156,3,14,2643.86,2422.79
157,157,2,2,6.98,6.65
158,158,5,11,1169.89,1079.68
159,159,6,16,451.84,396.92
160,160,2,4,164.96,142.66
161,161,5,18,2339.82,2168.95
162,162,4,13,3236.87,2982.32
163,163,5,14,1494.86,1248.15
164,164,3,12,227.88,195.93
165,165,6,14,20196.86,17751.61
166,166,2,3,129.97,108.97
167,167,3,9,48201.41,46202.72
168,168,2,6,99.94,91.93
169,169,2,5,36799.95,33456.43
170,170,5,14,1829.86,1512.89
171,171,2,6,219.94,191.81
172,172,4,11,574.89,495.78
173,173,4,12,17785.88,16911.51
174,174,6,23,752.77,701.39
175,175,2,3,349.97,302.88
176,176,2,7,269.93,218.17
177,177,2,9,2399.91,2299.48
178,178,6,21,6785.79,5846.4
179,179,6,16,27567.34,25098.32
180,180,2,3,6.97,6.87
181,181,3,6,4707.94,4138.32
182,182,6,20,3411.8,3195.45
183,183,5,16,62954.84,59760.67
184,184,2,2,14015.98,13307.5
185,185,2,5,1404.95,1243.17
186,186,2,8,364.92,359.72
187,187,4,12,10844.88,9255.33
